DATA-JOGO;JOGO_ID;CASA_ID;PONTOS_CASA;ARREM_PCT_CASA;LANC_LIV_PCT_CASA;ARREM_3PT_PCT_CASA;ASSISTS_CASA;REBOTES_CASA;VISITANTE_ID;PONTOS_VISIT;ARREM_PCT_VISIT;LANC_LIV_PCT_VISIT;ARREM_3PT_PCT_VISIT;ASSISTS_VISIT;REBOTES_VISIT;TIME_VENCEDOR
04/01/2020;21900523;1610612746;114.0;0.446;0.773;0.233;20.0;49.0;1610612763;140.0;0.51;0.857;0.462;36.0;54.0;VISITANTE
04/01/2020;21900524;1610612751;102.0;0.478;0.735;0.371;24.0;38.0;1610612761;121.0;0.454;0.7140000000000001;0.406;21.0;43.0;VISITANTE
04/01/2020;21900525;1610612753;96.0;0.447;0.75;0.297;21.0;46.0;1610612762;109.0;0.452;0.643;0.4;22.0;51.0;VISITANTE
04/01/2020;21900526;1610612737;116.0;0.512;0.917;0.313;22.0;40.0;1610612754;111.0;0.414;0.8290000000000001;0.37;24.0;39.0;CASA
04/01/2020;21900527;1610612739;106.0;0.459;0.8240000000000001;0.467;19.0;42.0;1610612760;121.0;0.448;0.8079999999999999;0.378;24.0;52.0;VISITANTE
04/01/2020;21900528;1610612764;128.0;0.5489999999999999;0.815;0.375;20.0;49.0;1610612743;114.0;0.46;0.8240000000000001;0.207;18.0;33.0;CASA
04/01/2020;21900529;1610612741;104.0;0.425;0.742;0.382;23.0;37.0;1610612738;111.0;0.524;0.81;0.421;22.0;44.0;VISITANTE
04/01/2020;21900530;1610612742;120.0;0.47;0.846;0.3;28.0;41.0;1610612766;123.0;0.494;0.903;0.44;27.0;53.0;VISITANTE
04/01/2020;21900531;1610612749;127.0;0.494;0.727;0.378;23.0;49.0;1610612759;118.0;0.413;0.912;0.344;20.0;50.0;CASA
04/01/2020;21900532;1610612744;104.0;0.402;0.8440000000000001;0.524;26.0;42.0;1610612765;111.0;0.518;0.875;0.407;24.0;46.0;VISITANTE
04/01/2020;21900533;1610612758;115.0;0.447;0.75;0.5710000000000001;20.0;51.0;1610612740;117.0;0.4370000000000001;0.758;0.35600000000000004;28.0;44.0;VISITANTE
03/01/2020;21900517;1610612738;109.0;0.441;0.7240000000000001;0.24;23.0;54.0;1610612737;106.0;0.419;0.8;0.35600000000000004;26.0;42.0;CASA
03/01/2020;21900518;1610612753;105.0;0.407;0.897;0.371;25.0;44.0;1610612748;85.0;0.375;0.7829999999999999;0.189;16.0;49.0;CASA
03/01/2020;21900519;1610612764;103.0;0.422;0.64;0.333;19.0;41.0;1610612757;122.0;0.511;0.7879999999999999;0.24;16.0;41.0;VISITANTE
03/01/2020;21900520;1610612745;118.0;0.477;0.75;0.375;22.0;46.0;1610612755;108.0;0.457;0.72;0.222;32.0;44.0;CASA
03/01/2020;21900521;1610612756;120.0;0.467;0.7879999999999999;0.35700000000000004;28.0;48.0;1610612752;112.0;0.446;0.667;0.27;19.0;52.0;CASA
03/01/2020;21900522;1610612747;123.0;0.5;0.821;0.483;29.0;47.0;1610612740;113.0;0.471;0.857;0.297;24.0;40.0;CASA
02/01/2020;21900508;1610612739;106.0;0.506;0.7859999999999999;0.371;26.0;42.0;1610612766;109.0;0.446;0.833;0.395;25.0;39.0;VISITANTE
02/01/2020;21900509;1610612754;116.0;0.524;0.72;0.462;32.0;34.0;1610612743;124.0;0.529;0.889;0.29600000000000004;27.0;47.0;VISITANTE
02/01/2020;21900510;1610612748;84.0;0.407;0.545;0.324;23.0;50.0;1610612761;76.0;0.315;0.8240000000000001;0.14300000000000002;20.0;48.0;CASA
02/01/2020;21900511;1610612741;98.0;0.394;0.765;0.306;22.0;45.0;1610612762;102.0;0.487;0.773;0.3670000000000001;24.0;42.0;VISITANTE
02/01/2020;21900512;1610612750;99.0;0.4;0.588;0.302;22.0;52.0;1610612744;84.0;0.429;0.7140000000000001;0.15;20.0;43.0;CASA
